Name,city,Price,Superhost,is_fav,Rating,Reviews,URL
"Confortable i acollidor, Eixample /Hosp. Clinic",Barcelona,"€ 1,254",Yes,1,5.0,049,https://www.airbnb.com/rooms/1176067615351381457?search_mode=regular_search&adults=1&check_in=2026-02-14&check_out=2026-02-19&children=0&infants=0&pets=0&source_impression_id=p3_1769507395_P3QbnxP8B4vv_j4T&previous_page_section_name=1000&federated_search_id=1cd7259c-3bca-49fb-a8ab-ee353bc1888d
"4bedrooms, 4ensuite bathrooms, 2kitchens, 1terase",Barcelona,"€ 1,201",No,0,New,1,https://www.airbnb.com/rooms/1569356457249893249?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769507395_P357hKKxRawOBDD_&previous_page_section_name=1000&federated_search_id=1cd7259c-3bca-49fb-a8ab-ee353bc1888d
Modern design for four guests,Berlin,€ 778,Yes,1,4.9,987,https://www.airbnb.com/rooms/1191947640272924121?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3tFCUOQ7-fWQ_tz&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
Modern building with vertical garden & 2 bedrooms,Berlin,€ 918,Yes,1,4.98,98233,https://www.airbnb.com/rooms/668157595596321506?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P39CI9CbaTSx3TIk&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
"Beautiful Kreuzberg apartment, 2 min from canal",Berlin,€ 527,Yes,1,4.97,9734,https://www.airbnb.com/rooms/909320248591901398?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3FKU2Ear3Fd-hPV&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
NEST :: Sunny Maisonette in the city center,Berlin,€ 522,Yes,0,4.59,181,https://www.airbnb.com/rooms/53988565?search_mode=regular_search&adults=1&check_in=2026-02-06&check_out=2026-02-11&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3cnMzl-dAVMUaf5&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
Central apartment near Alex (Apt. 11),Berlin,€ 810,Yes,1,4.89,89289,https://www.airbnb.com/rooms/33006441?search_mode=regular_search&adults=1&check_in=2026-03-21&check_out=2026-03-26&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3cXAh9KK-Z2xFul&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
Berlin & Friends,Berlin,€ 887,No,1,5.0,07,https://www.airbnb.com/rooms/1532829500518989242?search_mode=regular_search&adults=1&check_in=2026-02-24&check_out=2026-03-01&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3y73gKToWEp2ziH&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
2 bedroom apartment cozy & central,Berlin,€ 846,Yes,1,5.0,026,https://www.airbnb.com/rooms/1333204164065268326?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3sgAMAoxq4GRlYz&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
"Kreuzberg, Nordic Design, Split Level Sudio",Berlin,€ 958,Yes,1,5.0,028,https://www.airbnb.com/rooms/1413784833577322672?search_mode=regular_search&adults=1&check_in=2026-02-06&check_out=2026-02-11&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3qsCRwQgyQDzZHt&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
Modern Flat in Kreuzberg 2 bath rooms,Berlin,€ 434,Yes,0,4.7,119,https://www.airbnb.com/rooms/1034665825236371167?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3pmJgTOFGT12lkg&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
Bright 105 sqm 2 balconies 3 rooms Warschauer Str.,Berlin,€ 813,Yes,1,4.99,9987,https://www.airbnb.com/rooms/1037272492882778968?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3zEJRApvnOUiT1G&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
Remise Kreuzberg – 3 floors and terrace,Berlin,"€ 1,302",Yes,1,5.0,034,https://www.airbnb.com/rooms/1372529446686113868?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3OXsjaSN4zyRnDz&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
Insel Boardinghouse Berlin Mitte Smart Appart,Berlin,€ 590,Yes,0,4.65,246,https://www.airbnb.com/rooms/8822071?search_mode=regular_search&adults=1&check_in=2026-02-06&check_out=2026-02-11&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3Fv6CZxqaFFTh-b&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
Designer Penthouse | Light-Filled and Tranquil,Berlin,"€ 1,125",No,1,5.0,010,https://www.airbnb.com/rooms/1320855238428175681?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3y1aUzPevnFCvFj&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
Stylish apartment with garden in Berlin Mitte,Berlin,"€ 1,057",Yes,1,4.92,9212,https://www.airbnb.com/rooms/1469357806722214875?search_mode=regular_search&adults=1&check_in=2026-03-15&check_out=2026-03-20&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3V4J-RHsptH7oDH&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
+Beautiful Duplex Penthouse in Berlin City Center+,Berlin,"€ 1,054",Yes,1,5.0,025,https://www.airbnb.com/rooms/49705040?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769507445_P3MJ-b269xvWSNvb&previous_page_section_name=1000&federated_search_id=f4a3a6cc-6f21-4c1d-95fd-b61cda7f3407
Space * spacious Altbau * Berlin Mitte,Berlin,€ 773,Yes,0,4.72,206,https://www.airbnb.com/rooms/53988165?search_mode=regular_search&adults=1&check_in=2026-03-08&check_out=2026-03-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507585_P39USWW5n3J6oE-K&previous_page_section_name=1000&federated_search_id=398d60e8-2e23-459c-910f-7bbb4e2da783
Cozy 2-room oasis,Berlin,€ 463,Yes,1,4.94,9486,https://www.airbnb.com/rooms/1167156301403053007?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507585_P3IdUC-xGVNEwdGh&previous_page_section_name=1000&federated_search_id=398d60e8-2e23-459c-910f-7bbb4e2da783
Bohemian Neukölln 3Room @ Schillerkiez,Berlin,€ 512,No,0,4.61,243,https://www.airbnb.com/rooms/18473062?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507585_P3bbBZ3H2mzOpZ6F&previous_page_section_name=1000&federated_search_id=398d60e8-2e23-459c-910f-7bbb4e2da783
light and bright design apartment - incl. CityTax,Berlin,€ 685,Yes,0,4.82,382,https://www.airbnb.com/rooms/10423394?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769507585_P3-xY2RTocyXKtg5&previous_page_section_name=1000&federated_search_id=398d60e8-2e23-459c-910f-7bbb4e2da783
ZOZO Berlin Mitte Kastanienhof Urban Lodge,Berlin,€ 445,No,0,5.0,9,https://www.airbnb.com/rooms/1508893251744804759?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769507585_P35XbgFwidU2jbh-&previous_page_section_name=1000&federated_search_id=398d60e8-2e23-459c-910f-7bbb4e2da783
Architecture apartment in Mitte - Brunnenstr.,Berlin,€ 726,Yes,1,4.85,85123,https://www.airbnb.com/rooms/1097577186343800258?search_mode=regular_search&adults=1&check_in=2026-03-08&check_out=2026-03-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507585_P3m-fMqGQPeZ0uh5&previous_page_section_name=1000&federated_search_id=398d60e8-2e23-459c-910f-7bbb4e2da783
120 sqm2 penthouse/attic apartment + sauna + fireplace,Berlin,€ 874,Yes,1,4.93,93140,https://www.airbnb.com/rooms/31141186?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769507585_P3BsKg3ZxKvngt2b&previous_page_section_name=1000&federated_search_id=398d60e8-2e23-459c-910f-7bbb4e2da783
