distance_city_center,distance_metro,num_bedrooms,max_guests,room_id
5.022963798088291,2.539380002594493,1,2,1
0.4883892888289836,0.2394039228349863,1,4,2
5.748311915159562,3.651621288793656,1,2,3
0.384862012821602,0.4398760761319157,2,4,4
0.5447381834292384,0.3186926468416831,1,2,5
2.13142008057136,1.904668241410844,2,3,6
1.8810915643710744,0.7297467390303181,1,2,7
1.6868069652027278,1.4584035662283186,3,4,8
3.719141398657261,1.1961123528716675,2,4,9
3.142361425629701,0.9244044386046626,1,2,10
1.0099220248634968,0.9171150679278918,1,2,11
2.182707104451588,1.590381362751412,1,2,12
2.9330458432919566,0.6280730466725806,1,4,13
1.3054939315898395,1.3421624076909515,1,2,14
7.304535266554101,3.720813885628837,1,2,15
1.0311006089592691,0.5578845347320643,1,2,16
1.327797157439684,0.119528106734041,1,2,17
1.3663342379671055,0.5349334596105503,1,2,18
1.2897592303027183,0.5521164877855617,1,2,19
1.0576193314364548,1.0653391259990903,1,2,20
2.8706328438025386,1.2788940751193616,1,2,21
1.0140664267918649,0.3771036873075551,2,4,22
1.2470836669767065,1.098774337645081,1,2,23
1.1674923014349312,0.9837430031835354,1,2,24
4.230634296706812,2.687144039939682,1,2,25
4.180814737167991,2.80843797194201,1,2,26
3.366018582385255,0.2258822993056595,1,2,27
4.1272800185441785,0.8393253845123759,1,2,28
2.161607613910167,1.4241694265758251,2,4,29
4.88547764075742,1.0948368113158276,1,4,30
1.1263269723055738,1.1210705457980177,1,2,31
3.363590724697365,0.6974224938368218,3,4,32
1.0711683461395805,0.3825354028755497,2,4,33
3.856290112898853,0.7279622388446657,2,3,34
4.075247886453735,1.8734109911985728,2,4,35
2.9885887859177016,1.7500029807371027,3,6,36
4.147086685675081,0.0383546937010648,0,2,37
5.611750155516678,3.911722315852436,1,2,38
2.8549916690296686,1.7025833727524873,2,4,39
6.411657372487183,4.143226904079955,1,2,40
0.5403538681782272,0.3386577422231185,1,2,41
0.495828246257032,0.3327422132904341,1,4,42
0.5143556615734999,0.2772111229812157,1,3,43
3.69500542587883,0.3975279375938017,2,5,44
1.0978692589754402,0.9569279642150376,0,2,45
0.3846115997106273,0.3126380462316873,1,2,46
0.4715465422801259,0.1432629485982863,1,3,47
1.4305110577156566,1.3525869353715234,2,3,48
4.224208587262892,1.5193110444768114,0,2,49
6.198278628987274,2.3712668616978507,1,4,50
3.0194408531429744,0.7924066228604738,1,2,51
