room_id,city_id,state_id,district_id,country_id,longitude,latitude,location_id
1,1,1,1,1,4.90569,52.41772,1
2,1,1,2,1,4.90005,52.37432,2
3,1,1,3,1,4.97512,52.36103,3
4,1,1,2,1,4.89417,52.37663,4
5,1,1,2,1,4.90051,52.37508,5
6,1,1,2,1,4.87699,52.38966,6
7,1,1,2,1,4.9157,52.38296,7
8,1,1,2,1,4.88467,52.38749,8
9,1,1,2,1,4.86459,52.40175,9
10,1,1,2,1,4.876,52.347,10
11,1,1,2,1,4.87956,52.36953,11
12,1,1,2,1,4.92496,52.37107,12
13,1,1,2,1,4.88934,52.34697,13
14,1,1,2,1,4.87417,52.37509,14
15,1,1,3,1,4.99679,52.35645,15
16,1,1,2,1,4.9080900000000005,52.37455,16
17,1,1,2,1,4.88971,52.36148,17
18,1,1,2,1,4.88368,52.362390000000005,18
19,1,1,2,1,4.8839,52.3631,19
20,1,1,2,1,4.87757,52.37336,20
21,1,1,2,1,4.85206,52.367340000000006,21
22,1,1,2,1,4.89088,52.36422,22
23,1,1,2,1,4.886419999999999,52.38367,23
24,1,1,2,1,4.88799,52.38325,24
25,1,1,1,1,4.89595,52.41122,25
26,1,1,1,1,4.89375,52.41081,26
27,1,1,2,1,4.895,52.343,27
28,1,1,2,1,4.84631,52.34966,28
29,1,1,2,1,4.92432,52.37676,29
30,1,1,4,1,4.82174,52.37781,30
31,1,1,2,1,4.87657,52.37288,31
32,1,1,2,1,4.90806,52.34442,32
33,1,1,2,1,4.888809999999999,52.36397,33
34,1,1,2,1,4.86021,52.34502,34
35,1,1,3,1,4.94798,52.38786,35
36,1,1,2,1,4.86225,52.35413,36
37,1,1,5,1,4.92058,52.33997,37
38,1,1,1,1,4.885,52.42343,38
39,1,1,2,1,4.8588,52.35848,39
40,1,1,3,1,4.98597,52.36376,40
41,1,1,2,1,4.90032,52.37525,41
42,1,1,2,1,4.8996900000000005,52.37513,42
43,1,1,2,1,4.90027,52.37469,43
44,1,1,2,1,4.841,52.38253,44
45,1,1,2,1,4.88774,52.382540000000006,45
46,1,1,2,1,4.89831,52.37457,46
47,1,1,2,1,4.90002,52.37341,47
48,1,1,2,1,4.87317,52.36917,48
49,1,1,5,1,4.93986,52.348290000000006,49
50,1,1,6,1,4.96617,52.40648,50
51,1,1,2,1,4.84941,52.37788,51
52,1,1,2,1,4.89843,52.3734,52
53,1,1,4,1,4.82115,52.38375,53
54,1,1,2,1,4.881,52.36600000000001,54
55,1,1,2,1,4.89861,52.37326,55
56,1,1,2,1,4.89837,52.37355,56
57,1,1,2,1,4.91319,52.37075,57
58,1,1,2,1,4.91113,52.36575,58
59,1,1,2,1,4.9075,52.36296,59
60,1,1,2,1,4.876519999999999,52.36806,60
61,1,1,2,1,4.884,52.38,61
62,1,1,2,1,4.89248,52.375240000000005,62
63,1,1,3,1,4.97698,52.36234,63
64,1,1,2,1,4.85087,52.38181,64
65,1,1,7,1,4.84034,52.35015,65
66,1,1,2,1,4.85619,52.3778,66
67,1,1,2,1,4.88428,52.37163,67
68,1,1,7,1,4.859,52.331,68
69,1,1,3,1,4.94543,52.36055,69
70,1,1,2,1,4.85835,52.37612,70
71,1,1,2,1,4.87162,52.39226,71
72,1,1,2,1,4.89075,52.3816,72
73,1,1,2,1,4.861190000000001,52.3442,73
74,1,1,2,1,4.89,52.361,74
75,1,1,2,1,4.876519999999999,52.391090000000005,75
76,1,1,7,1,4.798369999999999,52.35413,76
77,1,1,2,1,4.88712,52.38237,77
78,1,1,2,1,4.980569999999999,52.30865,78
79,1,1,2,1,4.87953,52.37845,79
80,1,1,2,1,4.86247,52.38767,80
81,1,1,2,1,4.89344,52.3764,81
82,1,1,3,1,4.96166,52.36943,82
83,1,1,3,1,4.9604,52.36854,83
84,1,1,2,1,4.89663,52.35781,84
85,1,1,3,1,4.96173,52.37003,85
86,1,1,2,1,4.90714,52.36799,86
87,1,1,2,1,4.85743,52.37769,87
88,1,1,7,1,4.80823,52.3569,88
89,1,1,2,1,4.8895800000000005,52.38002,89
90,1,1,2,1,4.88956,52.38126,90
91,1,1,4,1,4.80772,52.36412,91
92,1,1,5,1,4.94459,52.3186,92
93,1,1,2,1,4.882280000000001,52.37451,93
94,1,1,1,1,4.91,52.402,94
95,1,1,2,1,4.90258,52.3432,95
96,1,1,5,1,4.93297,52.3617,96
97,1,1,3,1,4.94479,52.3678,97
98,1,1,1,1,4.894430000000001,52.41516,98
99,1,1,5,1,4.91979,52.33963,99
100,1,1,2,1,4.88478,52.38683,100
101,1,1,5,1,4.90733,52.34038,101
102,1,1,2,1,4.888,52.369,102
103,1,1,2,1,4.88707,52.39019,103
104,1,1,1,1,4.92022,52.41538,104
105,1,1,3,1,4.945930000000001,52.37431,105
106,1,1,2,1,4.90441,52.36167,106
107,1,1,1,1,4.91,52.405,107
108,1,1,2,1,4.89575,52.357040000000005,108
109,1,1,2,1,4.89496,52.379,109
110,1,1,2,1,4.90042,52.35691,110
111,1,1,2,1,4.87254,52.371970000000005,111
112,1,1,2,1,4.86068,52.35961,112
113,1,1,2,1,4.8684,52.36252,113
114,1,1,2,1,4.86873,52.37932,114
115,1,1,5,1,4.90867,52.34474,115
116,1,1,2,1,4.89768,52.36257,116
117,1,1,2,1,4.89072,52.34974,117
118,1,1,2,1,4.85345,52.38147,118
119,1,1,2,1,4.99394,52.299240000000005,119
120,1,1,4,1,4.82065,52.37422,120
121,1,1,3,1,4.94913,52.37407,121
122,1,1,5,1,4.92111,52.338640000000005,122
123,1,1,3,1,4.9399,52.36333,123
124,1,1,2,1,4.897,52.35577,124
125,1,1,3,1,4.93871,52.369,125
126,1,1,2,1,4.91029,52.362390000000005,126
127,1,1,2,1,4.892469999999999,52.35585,127
128,1,1,2,1,4.89025,52.38431,128
129,1,1,2,1,4.89006,52.3475,129
130,1,1,7,1,4.78696,52.34881,130
131,1,1,2,1,4.89051,52.35474,131
132,1,1,2,1,4.893,52.351000000000006,132
133,1,1,2,1,4.89001,52.37271,133
134,1,1,2,1,4.90355,52.37202,134
135,1,1,2,1,4.92243,52.371190000000006,135
136,1,1,2,1,4.879,52.379,136
137,1,1,2,1,4.88431,52.38885,137
138,1,1,2,1,4.87948,52.37836,138
139,1,1,2,1,4.89297,52.36075,139
140,1,1,2,1,4.88651,52.37819,140
141,1,1,2,1,4.8510800000000005,52.35643,141
142,1,1,2,1,4.8698,52.34635,142
143,1,1,2,1,4.83983,52.36761,143
144,1,1,2,1,4.882,52.365,144
145,1,1,5,1,4.93745,52.35297,145
146,1,1,2,1,4.862,52.368,146
147,1,1,2,1,4.98141,52.32206,147
148,1,1,3,1,4.94807,52.3756,148
149,1,1,2,1,4.92623,52.36568,149
150,1,1,2,1,4.987,52.322,150
151,1,1,2,1,4.88887,52.36368,151
152,1,1,2,1,4.89525,52.35189,152
153,1,1,5,1,4.9117,52.34291,153
154,1,1,2,1,4.89016,52.34616,154
155,1,1,2,1,4.88204,52.37212,155
156,1,1,1,1,4.893,52.41042,156
157,1,1,2,1,4.8398,52.37533,157
158,1,1,2,1,4.88093,52.37778,158
159,1,1,2,1,4.86897,52.3612,159
160,1,1,2,1,4.88783,52.39035,160
161,1,1,2,1,4.83906,52.37755,161
162,1,1,2,1,4.887,52.365,162
163,1,1,7,1,4.84805,52.34101,163
164,1,1,7,1,4.83969,52.3501,164
165,1,1,2,1,4.834980000000001,52.36698,165
166,1,1,2,1,4.92126,52.38666,166
167,1,1,2,1,4.875,52.347,167
168,1,1,2,1,4.8791,52.37409,168
169,1,1,2,1,4.89278,52.3699,169
170,1,1,2,1,4.87073,52.35964,170
171,1,1,2,1,4.8445,52.3638,171
172,1,1,2,1,4.90945,52.35598,172
173,1,1,2,1,4.87725,52.36741,173
174,1,1,2,1,4.99856,52.30013,174
175,1,1,2,1,4.89161,52.37436,175
176,1,1,2,1,4.84563,52.37976,176
177,1,1,2,1,4.90493,52.35421,177
178,1,1,2,1,4.89921,52.36376,178
179,1,1,2,1,4.89712,52.35199,179
180,1,1,2,1,4.87076,52.36905,180
181,1,1,2,1,4.92428,52.36885,181
182,1,1,2,1,4.88385,52.37062,182
183,1,1,2,1,4.87451,52.365590000000005,183
184,1,1,4,1,4.7994900000000005,52.37441,184
185,1,1,2,1,4.89462,52.35271,185
186,1,1,2,1,4.85705,52.37046,186
187,1,1,7,1,4.81,52.354,187
188,1,1,2,1,4.98757,52.29921,188
189,1,1,1,1,4.93428,52.40601,189
190,1,1,2,1,4.8692400000000005,52.35582,190
191,1,1,7,1,4.87274,52.33217,191
192,1,1,2,1,4.8903300000000005,52.38252,192
193,1,1,2,1,4.86941,52.36713,193
194,1,1,2,1,4.89065,52.37835,194
195,1,1,3,1,4.96965,52.37392,195
196,1,1,5,1,4.93202,52.37105,196
197,1,1,2,1,4.868469999999999,52.36101,197
198,1,1,2,1,4.89887,52.37351,198
199,1,1,2,1,4.92354,52.36633,199
200,1,1,2,1,4.894,52.38,200
201,1,1,7,1,4.81305,52.35239,201
202,1,1,2,1,4.89677,52.36104,202
203,1,1,2,1,4.88194,52.36714,203
204,1,1,2,1,4.88971,52.35056,204
205,1,1,2,1,4.9030000000000005,52.364,205
206,1,1,3,1,4.93831,52.37689,206
207,1,1,2,1,4.8638900000000005,52.36165,207
208,1,1,2,1,4.87977,52.36623,208
209,1,1,2,1,4.89268,52.36092,209
210,1,1,2,1,4.90366,52.35222,210
211,1,1,5,1,4.919,52.353,211
212,1,1,5,1,4.93679,52.3566,212
213,1,1,5,1,4.93321,52.36461,213
214,1,1,2,1,4.89319,52.35964,214
215,1,1,2,1,4.84719,52.35043,215
216,1,1,2,1,4.89871,52.3447,216
217,1,1,2,1,4.99213,52.293040000000005,217
218,1,1,2,1,4.8954,52.3659,218
219,1,1,2,1,4.90795,52.35528,219
220,1,1,2,1,4.8754800000000005,52.36917,220
221,1,1,2,1,4.87085,52.36887,221
222,1,1,2,1,4.931430000000001,52.37172,222
223,1,1,2,1,4.89098,52.35406,223
